id,qid1,qid2,question1,question2,is_duplicate
879,1878,2878,Can I trust weight loss?,Is weight loss reliable?,1
880,1879,2879,What is vaccination?,Explain vaccination in simple terms,0
881,1880,2880,How to use Java?,Steps to use Java,1
882,1881,2881,What is the purpose of Java?,Why do we need Java?,1
883,1882,2882,Why is AI important?,Significance of AI?,0
884,1883,2883,What is the purpose of blockchain?,Why do we need blockchain?,0
885,1884,2884,How do I learn electric cars?,Best way to learn electric cars,0
886,1885,2885,Drawbacks of machine learning?,Disadvantages of machine learning?,1
887,1886,2886,What is Python?,Explain Python in simple terms,1
888,1887,2887,Benefits of electric cars?,What are the advantages of electric cars?,1
889,1888,2888,How to use AI?,Steps to use AI,0
890,1889,2889,Why is weight loss important?,Significance of weight loss?,1
891,1890,2890,What is Python?,Explain Python in simple terms,0
892,1891,2891,Can I trust Java?,Is Java reliable?,1
893,1892,2892,What is the future of blockchain?,How will blockchain evolve?,1
894,1893,2893,Can I trust cloud computing?,Is cloud computing reliable?,1
895,1894,2894,Drawbacks of electric cars?,Disadvantages of electric cars?,0
896,1895,2895,Why is Java important?,Significance of Java?,0
897,1896,2896,What is the purpose of Java?,Why do we need Java?,1
898,1897,2897,Can I trust vaccination?,Is vaccination reliable?,1
899,1898,2898,What is Python?,Explain Python in simple terms,0
900,1899,2899,What is the purpose of AI?,Why do we need AI?,0
901,1900,2900,Drawbacks of Java?,Disadvantages of Java?,1
902,1901,2901,Can I trust electric cars?,Is electric cars reliable?,0
903,1902,2902,Benefits of machine learning?,What are the advantages of machine learning?,1
904,1903,2903,What is the future of smartphones?,How will smartphones evolve?,0
905,1904,2904,Benefits of weight loss?,What are the advantages of weight loss?,0
906,1905,2905,What is smartphones?,Explain smartphones in simple terms,1
907,1906,2906,How to use Java?,Steps to use Java,1
908,1907,2907,Drawbacks of vaccination?,Disadvantages of vaccination?,1
909,1908,2908,What is the future of vaccination?,How will vaccination evolve?,0
910,1909,2909,Why is Python important?,Significance of Python?,0
911,1910,2910,What is the future of machine learning?,How will machine learning evolve?,1
912,1911,2911,How to use Java?,Steps to use Java,0
913,1912,2912,What is the future of machine learning?,How will machine learning evolve?,0
914,1913,2913,How to use blockchain?,Steps to use blockchain,1
915,1914,2914,What is the purpose of Python?,Why do we need Python?,1
916,1915,2915,Difference between vaccination and smartphones?,How does vaccination differ from smartphones?,1
917,1916,2916,What is the purpose of cloud computing?,Why do we need cloud computing?,1
918,1917,2917,How to use machine learning?,Steps to use machine learning,0
919,1918,2918,Drawbacks of vaccination?,Disadvantages of vaccination?,1
920,1919,2919,Why is blockchain important?,Significance of blockchain?,1
921,1920,2920,Drawbacks of Java?,Disadvantages of Java?,1
922,1921,2921,What is Python?,Explain Python in simple terms,1
923,1922,2922,What is blockchain?,Explain blockchain in simple terms,1
924,1923,2923,Drawbacks of Python?,Disadvantages of Python?,1
925,1924,2924,Drawbacks of blockchain?,Disadvantages of blockchain?,1
926,1925,2925,How do I learn weight loss?,Best way to learn weight loss,0
927,1926,2926,What is the future of Java?,How will Java evolve?,0
928,1927,2927,Why is weight loss important?,Significance of weight loss?,1
929,1928,2928,How do I learn electric cars?,Best way to learn electric cars,1
930,1929,2929,Drawbacks of weight loss?,Disadvantages of weight loss?,1
931,1930,2930,Benefits of smartphones?,What are the advantages of smartphones?,1
932,1931,2931,How to use blockchain?,Steps to use blockchain,0
933,1932,2932,How do I learn vaccination?,Best way to learn vaccination,1
934,1933,2933,Difference between weight loss and electric cars?,How does weight loss differ from electric cars?,1
935,1934,2934,What is the future of Python?,How will Python evolve?,0
936,1935,2935,What is the purpose of electric cars?,Why do we need electric cars?,1
937,1936,2936,Can I trust Python?,Is Python reliable?,1
938,1937,2937,Drawbacks of smartphones?,Disadvantages of smartphones?,1
939,1938,2938,How do I learn weight loss?,Best way to learn weight loss,1
940,1939,2939,Can I trust blockchain?,Is blockchain reliable?,1
941,1940,2940,Why is cloud computing important?,Significance of cloud computing?,1
942,1941,2941,What is the purpose of Java?,Why do we need Java?,1
943,1942,2942,Why is Python important?,Significance of Python?,0
944,1943,2943,Drawbacks of weight loss?,Disadvantages of weight loss?,0
945,1944,2944,Benefits of vaccination?,What are the advantages of vaccination?,1
946,1945,2945,What is the future of weight loss?,How will weight loss evolve?,0
947,1946,2946,What is the purpose of cloud computing?,Why do we need cloud computing?,1
948,1947,2947,What is cloud computing?,Explain cloud computing in simple terms,1
949,1948,2948,What is machine learning?,Explain machine learning in simple terms,0
950,1949,2949,What is the purpose of vaccination?,Why do we need vaccination?,0
951,1950,2950,What is the future of Python?,How will Python evolve?,1
952,1951,2951,Can I trust cloud computing?,Is cloud computing reliable?,1
953,1952,2952,Drawbacks of smartphones?,Disadvantages of smartphones?,0
954,1953,2953,Benefits of vaccination?,What are the advantages of vaccination?,1
955,1954,2954,What is the purpose of Python?,Why do we need Python?,0
956,1955,2955,What is machine learning?,Explain machine learning in simple terms,1
957,1956,2956,What is vaccination?,Explain vaccination in simple terms,0
958,1957,2957,How do I learn cloud computing?,Best way to learn cloud computing,1
959,1958,2958,Difference between blockchain and smartphones?,How does blockchain differ from smartphones?,1
960,1959,2959,Difference between Python and weight loss?,How does Python differ from weight loss?,1
961,1960,2960,How do I learn blockchain?,Best way to learn blockchain,0
962,1961,2961,Why is machine learning important?,Significance of machine learning?,1
963,1962,2962,Why is Java important?,Significance of Java?,0
964,1963,2963,What is the purpose of weight loss?,Why do we need weight loss?,1
965,1964,2964,How to use weight loss?,Steps to use weight loss,1
966,1965,2965,What is the future of Python?,How will Python evolve?,1
967,1966,2966,Difference between Python and smartphones?,How does Python differ from smartphones?,1
968,1967,2967,What is weight loss?,Explain weight loss in simple terms,1
969,1968,2968,What is the future of electric cars?,How will electric cars evolve?,1
970,1969,2969,How do I learn Java?,Best way to learn Java,0
971,1970,2970,What is the purpose of machine learning?,Why do we need machine learning?,1
972,1971,2971,Drawbacks of Python?,Disadvantages of Python?,1
973,1972,2972,Can I trust weight loss?,Is weight loss reliable?,0
974,1973,2973,How to use AI?,Steps to use AI,1
975,1974,2974,Difference between blockchain and AI?,How does blockchain differ from AI?,1
976,1975,2975,What is the purpose of weight loss?,Why do we need weight loss?,0
977,1976,2976,What is the purpose of blockchain?,Why do we need blockchain?,1
978,1977,2977,Why is cloud computing important?,Significance of cloud computing?,0
979,1978,2978,How do I learn smartphones?,Best way to learn smartphones,1
980,1979,2979,Difference between machine learning and Python?,How does machine learning differ from Python?,1
981,1980,2980,Can I trust Python?,Is Python reliable?,0
982,1981,2981,How do I learn Python?,Best way to learn Python,1
983,1982,2982,Why is AI important?,Significance of AI?,0
984,1983,2983,Benefits of machine learning?,What are the advantages of machine learning?,0
985,1984,2984,What is the purpose of AI?,Why do we need AI?,1
986,1985,2985,Drawbacks of cloud computing?,Disadvantages of cloud computing?,0
987,1986,2986,Can I trust cloud computing?,Is cloud computing reliable?,1
988,1987,2987,What is the purpose of electric cars?,Why do we need electric cars?,0
989,1988,2988,How do I learn vaccination?,Best way to learn vaccination,0
990,1989,2989,What is the purpose of Java?,Why do we need Java?,0
991,1990,2990,What is the future of weight loss?,How will weight loss evolve?,1
992,1991,2991,Difference between machine learning and vaccination?,How does machine learning differ from vaccination?,0
993,1992,2992,Can I trust machine learning?,Is machine learning reliable?,1
994,1993,2993,Benefits of smartphones?,What are the advantages of smartphones?,1
995,1994,2994,Why is weight loss important?,Significance of weight loss?,0
996,1995,2995,Why is Python important?,Significance of Python?,1
997,1996,2996,What is cloud computing?,Explain cloud computing in simple terms,0
998,1997,2997,How do I learn vaccination?,Best way to learn vaccination,1
999,1998,2998,What is vaccination?,Explain vaccination in simple terms,1
1000,1999,2999,What is vaccination?,Explain vaccination in simple terms,0
